Segment,Threshold_1_Length,Threshold_10_Length,Threshold_100_Length,Split_10_Length,Split_100_Length,Split_1000_Length,Handle_Lengths,Quadrangle_Length,Handle_Area,Quadrangle_Area,,% Difference between Threshold_1 and Handle_Lengths
800_1800__1200_1800,1779.17716,1779.154215,1777.551675,1774.462686,1745.443769,1775.785404,1955.991975,2355.991975,400000,400000,,0.909603507
1800_1800__2200_1800,1779.17716,1779.154215,1777.551675,1774.462686,1754.667833,1776.705872,1955.991975,2355.991975,400000,400000,,0.909603507
800_2000__1400_1600,1779.534837,1779.509667,1777.699388,1774.28498,1754.070628,1776.989439,1868.33204,2589.442295,280000,520000,,0.952472472
1600_1600__2200_2000,1779.534837,1779.509667,1777.699388,1774.28498,1749.345743,1776.479773,1868.33204,2589.442295,280000,520000,,0.952472472
0_1400__2200_1400,1779.698176,1779.603596,1760.395629,1761.485326,1766.510102,1778.359916,1524.246557,3724.246557,240000,240000,,0.856463516
800_1400__3000_1400,1779.698176,1779.603596,1760.395629,1761.485326,1748.131645,1776.475533,1524.246557,3724.246557,240000,240000,,0.856463516
800_1600__1800_2000,1779.826679,1779.815556,1778.026085,1772.082204,1749.517694,1776.770301,1652.259435,2729.292396,160000,560000,,0.92832603
1200_2000__2200_1600,1779.826679,1779.815556,1778.026085,1772.082204,1760.944341,1777.930406,1652.259435,2729.292396,160000,560000,,0.92832603
400_1200__1600_2000,1780.337778,1780.300501,1777.474704,1768.807675,1748.320321,1777.109919,1709.488493,3151.709004,260000,1220000,,0.960204583
1400_2000__2600_1200,1780.337778,1780.300501,1777.474704,1768.807675,1761.699997,1778.444081,1709.488493,3151.709004,260000,1220000,,0.960204583
0_1000__1200_1200,1780.519599,1779.880616,1773.996208,1771.593122,1755.625547,1778.052604,1824.621125,3041.173631,80000,320000,,0.975829762
1800_1200__3000_1000,1780.519599,1779.880616,1773.996208,1771.593122,1751.106876,1777.533936,1824.621125,3041.173631,80000,320000,,0.975829762
500_2000__1000_1000,1781.159537,1780.661638,1766.233744,1776.073124,1751.238302,1778.162547,2118.033989,3236.067977,250000,750000,,0.840949459
2000_1000__2500_2000,1781.159537,1780.661638,1766.233744,1776.073124,1748.216173,1777.813651,2118.033989,3236.067977,250000,750000,,0.840949459
200_1200__2000_1800,1781.167827,1781.112013,1777.273444,1765.510154,1757.4253,1778.771168,1624.621125,3521.987721,80000,1160000,,0.912110078
1000_1800__2800_1200,1781.167827,1781.112013,1777.273444,1765.510154,1756.996414,1778.700382,1624.621125,3521.987721,80000,1160000,,0.912110078
800_2000__1800_1600,1781.474169,1781.463984,1779.573836,1774.508142,1762.412188,1779.57607,1652.259435,2729.292396,160000,560000,,0.927467523
1200_1600__2200_2000,1781.474169,1781.463984,1779.573836,1774.508142,1751.290198,1778.419036,1652.259435,2729.292396,160000,560000,,0.927467523
400_1600__1200_1600,1781.548511,1781.517807,1775.85622,1775.282672,1751.594933,1778.549376,1848.528137,2648.528137,420000,420000,,0.963765969
1800_1600__2600_1600,1781.548511,1781.517807,1775.85622,1775.282672,1756.453017,1779.006952,1848.528137,2648.528137,420000,420000,,0.963765969
400_1200__2000_2000,1781.895419,1781.847277,1778.195214,1767.006097,1752.281439,1778.899829,1632.455532,3421.309914,60000,1340000,,0.916134311
1000_2000__2600_1200,1781.895419,1781.847277,1778.195214,1767.006097,1763.336546,1780.002754,1632.455532,3421.309914,60000,1340000,,0.916134311
200_1200__1800_1800,1782.008295,1781.95869,1778.428869,1768.618512,1757.435454,1779.536723,1649.24225,3358.042999,160000,1120000,,0.925496393
1200_1800__2800_1200,1782.008295,1781.95869,1778.428869,1768.618512,1757.800327,1779.540362,1649.24225,3358.042999,160000,1120000,,0.925496393
200_1600__1000_1000,1782.067636,1781.419303,1766.667471,1779.0212,1752.068371,1779.075913,2000,3000,240000,720000,,0.891033818
2000_1000__2800_1600,1782.067636,1781.419303,1766.667471,1779.0212,1752.605302,1779.08131,2000,3000,240000,720000,,0.891033818
200_1000__1400_1800,1782.124145,1782.078548,1772.965516,1770.954405,1752.28469,1779.126391,1800,3242.22051,240000,1200000,,0.990068969
1600_1800__2800_1000,1782.124145,1782.078548,1772.965516,1770.954405,1758.608332,1779.72963,1800,3242.22051,240000,1200000,,0.990068969
0_1800__2200_1000,1782.331573,1781.373729,1756.202476,1753.168299,1776.830181,1781.750037,1480.624847,3821.56483,400000,2160000,,0.83072357
800_1000__3000_1800,1782.331573,1781.373729,1756.202476,1753.168299,1744.745322,1778.511461,1480.624847,3821.56483,400000,2160000,,0.83072357
0_1800__2000_1000,1782.548456,1782.491253,1778.574065,1772.079054,1781.803206,1782.541769,1280.624847,3434.69077,400000,2000000,,0.718423582
1000_1000__3000_1800,1782.548456,1782.491253,1778.574065,1772.079054,1745.021915,1778.716372,1280.624847,3434.69077,400000,2000000,,0.718423582
0_1400__2600_1200,1782.587914,1782.368297,1756.924679,1760.237069,1764.273886,1780.699204,1709.488493,4317.169456,260000,780000,,0.95899253
400_1200__3000_1400,1782.587914,1782.368297,1756.924679,1760.237069,1751.0968,1779.367062,1709.488493,4317.169456,260000,780000,,0.95899253
0_1000__1500_1500,1783.112224,1782.947425,1774.267746,1771.552183,1761.789206,1780.991651,1707.106781,3288.245611,125000,875000,,0.95737484
1500_1500__3000_1000,1783.112224,1782.947425,1774.267746,1771.552183,1753.75129,1780.12047,1707.106781,3288.245611,125000,875000,,0.95737484
