Segment,Handles_or_Base_Length,Control_Polygon_Perimeter_Average,Perimeter_Average_Error,Threshold_1_Length
1000_2000__1500_1500,1707.106781,1707.106781,1414.213562,1658.927595
1500_500__2000_0,1707.106781,1707.106781,1414.213562,1658.927595
1500_1500__2000_2000,1707.106781,1707.106781,1414.213562,1658.927595
0_500__2000_1000,1118.033989,2089.793401,2179.586802,1659.942927
0_1500__2000_1000,1118.033989,2089.793401,2179.586802,1659.942927
1000_1000__3000_500,1118.033989,2089.793401,2179.586802,1659.942927
1000_1000__3000_1500,1118.033989,2089.793401,2179.586802,1659.942927
1500_500__0_500,2768.659594,2634.329797,3268.659594,1661.539738
1500_1500__0_1500,2768.659594,2634.329797,3268.659594,1661.539738
3000_500__1500_500,2768.659594,2634.329797,3268.659594,1661.539738
3000_1500__1500_1500,2768.659594,2634.329797,3268.659594,1661.539738
500_1000__1500_0,1618.033989,2016.123776,2032.247551,1661.75441
500_1000__1500_2000,1618.033989,2016.123776,2032.247551,1661.75441
1500_0__2500_1000,1618.033989,2016.123776,2032.247551,1661.75441
1500_2000__2500_1000,1618.033989,2016.123776,2032.247551,1661.75441
500_0__1500_1500,1825.14077,2313.958204,2627.916408,1666.885905
500_2000__1500_500,1825.14077,2313.958204,2627.916408,1666.885905
1500_500__2500_2000,1825.14077,2313.958204,2627.916408,1666.885905
1500_1500__2500_0,1825.14077,2313.958204,2627.916408,1666.885905
500_500__1000_500,1825.14077,1662.570385,1325.14077,1669.295524
500_1500__1000_1500,1825.14077,1662.570385,1325.14077,1669.295524
2000_500__2500_500,1825.14077,1662.570385,1325.14077,1669.295524
2000_1500__2500_1500,1825.14077,1662.570385,1325.14077,1669.295524
1500_500__500_0,2509.882419,2313.958204,2627.916408,1670.860675
1500_1500__500_2000,2509.882419,2313.958204,2627.916408,1670.860675
2500_0__1500_500,2509.882419,2313.958204,2627.916408,1670.860675
2500_2000__1500_1500,2509.882419,2313.958204,2627.916408,1670.860675
0_1000__1500_1000,1500,2000,2000,1672.397614
1500_1000__3000_1000,1500,2000,2000,1672.397614
2000_0__1000_2000,2828.427125,3032.247551,4064.495102,1676.859608
2000_2000__1000_0,2828.427125,3032.247551,4064.495102,1676.859608
1000_500__1000_0,1914.213562,1707.106781,1414.213562,1676.860418
1000_1500__1000_2000,1914.213562,1707.106781,1414.213562,1676.860418
2000_0__2000_500,1914.213562,1707.106781,1414.213562,1676.860418
2000_2000__2000_1500,1914.213562,1707.106781,1414.213562,1676.860418
500_0__1500_1000,1618.033989,2016.123776,2032.247551,1680.469793
500_2000__1500_1000,1618.033989,2016.123776,2032.247551,1680.469793
1500_1000__2500_0,1618.033989,2016.123776,2032.247551,1680.469793
1500_1000__2500_2000,1618.033989,2016.123776,2032.247551,1680.469793
500_500__2500_500,1414.213562,2207.106781,2414.213562,1687.671825
500_1500__2500_1500,1414.213562,2207.106781,2414.213562,1687.671825
1000_0__1000_2000,2414.213562,2707.106781,3414.213562,1694.192667
1000_2000__1000_0,2414.213562,2707.106781,3414.213562,1694.192667
2000_0__2000_2000,2414.213562,2707.106781,3414.213562,1694.192667
2000_2000__2000_0,2414.213562,2707.106781,3414.213562,1694.192667
1000_500__0_1000,2500,2309.016994,2618.033989,1694.755988
1000_1500__0_1000,2500,2309.016994,2618.033989,1694.755988
3000_1000__2000_500,2500,2309.016994,2618.033989,1694.755988
3000_1000__2000_1500,2500,2309.016994,2618.033989,1694.755988
1000_0__2000_500,1500,1809.016994,1618.033989,1699.428267
1000_500__2000_0,1500,1809.016994,1618.033989,1699.428267
1000_1500__2000_2000,1500,1809.016994,1618.033989,1699.428267
1000_2000__2000_1500,1500,1809.016994,1618.033989,1699.428267
1000_0__1000_500,2118.033989,1809.016994,1618.033989,1700.429723
1000_2000__1000_1500,2118.033989,1809.016994,1618.033989,1700.429723
2000_500__2000_0,2118.033989,1809.016994,1618.033989,1700.429723
2000_1500__2000_2000,2118.033989,1809.016994,1618.033989,1700.429723
2000_500__500_0,2920.809626,2750.974228,3501.948457,1702.549835
2000_1500__500_2000,2920.809626,2750.974228,3501.948457,1702.549835
2500_0__1000_500,2920.809626,2750.974228,3501.948457,1702.549835
2500_2000__1000_1500,2920.809626,2750.974228,3501.948457,1702.549835
1500_0__500_500,2699.172819,2408.603404,2817.206808,1703.205192
1500_2000__500_1500,2699.172819,2408.603404,2817.206808,1703.205192
2500_500__1500_0,2699.172819,2408.603404,2817.206808,1703.205192
2500_1500__1500_2000,2699.172819,2408.603404,2817.206808,1703.205192
1000_0__500_1000,2500,2309.016994,2618.033989,1707.972671
1000_2000__500_1000,2500,2309.016994,2618.033989,1707.972671
2500_1000__2000_0,2500,2309.016994,2618.033989,1707.972671
2500_1000__2000_2000,2500,2309.016994,2618.033989,1707.972671
500_500__500_1000,2207.106781,1853.553391,1707.106781,1709.094998
500_1500__500_1000,2207.106781,1853.553391,1707.106781,1709.094998
2500_1000__2500_500,2207.106781,1853.553391,1707.106781,1709.094998
2500_1000__2500_1500,2207.106781,1853.553391,1707.106781,1709.094998
0_1000__2000_500,1500,2280.776406,2561.552813,1711.089226
0_1000__2000_1500,1500,2280.776406,2561.552813,1711.089226
1000_500__3000_1000,1500,2280.776406,2561.552813,1711.089226
1000_1500__3000_1000,1500,2280.776406,2561.552813,1711.089226
500_1000__500_500,2081.13883,1790.569415,1581.13883,1711.521332
500_1000__500_1500,2081.13883,1790.569415,1581.13883,1711.521332
2500_500__2500_1000,2081.13883,1790.569415,1581.13883,1711.521332
2500_1500__2500_1000,2081.13883,1790.569415,1581.13883,1711.521332
2000_500__0_500,3179.586802,3089.793401,4179.586802,1716.069314
2000_1500__0_1500,3179.586802,3089.793401,4179.586802,1716.069314
3000_500__1000_500,3179.586802,3089.793401,4179.586802,1716.069314
3000_1500__1000_1500,3179.586802,3089.793401,4179.586802,1716.069314
0_500__2000_1500,1618.033989,2427.050983,2854.101966,1716.47068
0_1500__2000_500,1618.033989,2427.050983,2854.101966,1716.47068
1000_500__3000_1500,1618.033989,2427.050983,2854.101966,1716.47068
1000_1500__3000_500,1618.033989,2427.050983,2854.101966,1716.47068
0_500__2500_1000,1618.033989,2583.771873,3167.543746,1722.992384
0_1500__2500_1000,1618.033989,2583.771873,3167.543746,1722.992384
500_1000__3000_500,1618.033989,2583.771873,3167.543746,1722.992384
500_1000__3000_1500,1618.033989,2583.771873,3167.543746,1722.992384
500_0__2500_1500,1825.14077,2662.570385,3325.14077,1723.819549
500_500__2500_2000,1825.14077,2662.570385,3325.14077,1723.819549
500_1500__2500_0,1825.14077,2662.570385,3325.14077,1723.819549
500_2000__2500_500,1825.14077,2662.570385,3325.14077,1723.819549
1500_1000__0_0,2736.067977,2769.421808,3538.843615,1730.947666
1500_1000__0_2000,2736.067977,2769.421808,3538.843615,1730.947666
3000_0__1500_1000,2736.067977,2769.421808,3538.843615,1730.947666
3000_2000__1500_1000,2736.067977,2769.421808,3538.843615,1730.947666
2000_0__500_500,2995.352392,2788.245611,3576.491223,1735.031617
2000_2000__500_1500,2995.352392,2788.245611,3576.491223,1735.031617
2500_500__1000_0,2995.352392,2788.245611,3576.491223,1735.031617
2500_1500__1000_2000,2995.352392,2788.245611,3576.491223,1735.031617
1000_0__500_1500,2581.13883,2581.13883,3162.27766,1735.298842
1000_2000__500_500,2581.13883,2581.13883,3162.27766,1735.298842
2500_500__2000_2000,2581.13883,2581.13883,3162.27766,1735.298842
2500_1500__2000_0,2581.13883,2581.13883,3162.27766,1735.298842
2500_1000__0_500,3561.552813,3555.531285,5111.06257,1740.610492
2500_1000__0_1500,3561.552813,3555.531285,5111.06257,1740.610492
3000_500__500_1000,3561.552813,3555.531285,5111.06257,1740.610492
3000_1500__500_1000,3561.552813,3555.531285,5111.06257,1740.610492
2500_0__500_1000,3302.775638,3269.421808,4538.843615,1741.953791
2500_1000__500_0,3302.775638,3269.421808,4538.843615,1741.953791
2500_1000__500_2000,3302.775638,3269.421808,4538.843615,1741.953791
2500_2000__500_1000,3302.775638,3269.421808,4538.843615,1741.953791
1000_500__0_1500,2561.552813,2487.883188,2975.766375,1750.798121
1000_1500__0_500,2561.552813,2487.883188,2975.766375,1750.798121
3000_500__2000_1500,2561.552813,2487.883188,2975.766375,1750.798121
3000_1500__2000_500,2561.552813,2487.883188,2975.766375,1750.798121
500_0__2500_1000,1618.033989,2427.050983,2854.101966,1755.009335
500_1000__2500_0,1618.033989,2427.050983,2854.101966,1755.009335
500_1000__2500_2000,1618.033989,2427.050983,2854.101966,1755.009335
500_2000__2500_1000,1618.033989,2427.050983,2854.101966,1755.009335
1500_0__500_2000,2920.809626,3078.438802,4156.877604,1757.696557
1500_2000__500_0,2920.809626,3078.438802,4156.877604,1757.696557
2500_0__1500_2000,2920.809626,3078.438802,4156.877604,1757.696557
2500_2000__1500_0,2920.809626,3078.438802,4156.877604,1757.696557
2500_500__0_1000,3581.13883,3565.324293,5130.648587,1759.524523
2500_1500__0_1000,3581.13883,3565.324293,5130.648587,1759.524523
3000_1000__500_500,3581.13883,3565.324293,5130.648587,1759.524523
3000_1000__500_1500,3581.13883,3565.324293,5130.648587,1759.524523
500_1000__1000_0,1914.213562,2016.123776,2032.247551,1760.491953
500_1000__1000_2000,1914.213562,2016.123776,2032.247551,1760.491953
2000_0__2500_1000,1914.213562,2016.123776,2032.247551,1760.491953
2000_2000__2500_1000,1914.213562,2016.123776,2032.247551,1760.491953
500_500__1000_2000,2121.320344,2351.229587,2702.459174,1760.625577
500_1500__1000_0,2121.320344,2351.229587,2702.459174,1760.625577
2000_0__2500_1500,2121.320344,2351.229587,2702.459174,1760.625577
2000_2000__2500_500,2121.320344,2351.229587,2702.459174,1760.625577
1500_500__0_2000,2943.174759,3032.247551,4064.495102,1762.092707
1500_1500__0_0,2943.174759,3032.247551,4064.495102,1762.092707
3000_0__1500_1500,2943.174759,3032.247551,4064.495102,1762.092707
3000_2000__1500_500,2943.174759,3032.247551,4064.495102,1762.092707
0_500__1500_1000,1618.033989,2099.586409,2199.172819,1762.629946
0_1500__1500_1000,1618.033989,2099.586409,2199.172819,1762.629946
1500_1000__3000_500,1618.033989,2099.586409,2199.172819,1762.629946
1500_1000__3000_1500,1618.033989,2099.586409,2199.172819,1762.629946
0_1000__2500_500,1707.106781,2628.308269,3256.616538,1762.718759
0_1000__2500_1500,1707.106781,2628.308269,3256.616538,1762.718759
500_500__3000_1000,1707.106781,2628.308269,3256.616538,1762.718759
500_1500__3000_1000,1707.106781,2628.308269,3256.616538,1762.718759
0_500__2500_1500,1825.14077,2758.861587,3517.723174,1766.740243
0_1500__2500_500,1825.14077,2758.861587,3517.723174,1766.740243
500_500__3000_1500,1825.14077,2758.861587,3517.723174,1766.740243
500_1500__3000_500,1825.14077,2758.861587,3517.723174,1766.740243
2500_0__500_1500,3383.914468,3441.957234,4883.914468,1767.665553
2500_500__500_2000,3383.914468,3441.957234,4883.914468,1767.665553
2500_1500__500_0,3383.914468,3441.957234,4883.914468,1767.665553
2500_2000__500_500,3383.914468,3441.957234,4883.914468,1767.665553
500_0__1000_1500,2236.067977,2408.603404,2817.206808,1777.609125
500_2000__1000_500,2236.067977,2408.603404,2817.206808,1777.609125
2000_500__2500_2000,2236.067977,2408.603404,2817.206808,1777.609125
2000_1500__2500_0,2236.067977,2408.603404,2817.206808,1777.609125
1000_500__0_500,2561.552813,2280.776406,2561.552813,1779.083645
1000_1500__0_1500,2561.552813,2280.776406,2561.552813,1779.083645
3000_500__2000_500,2561.552813,2280.776406,2561.552813,1779.083645
3000_1500__2000_1500,2561.552813,2280.776406,2561.552813,1779.083645
500_0__1000_1000,2118.033989,2118.033989,2236.067977,1781.159537
500_2000__1000_1000,2118.033989,2118.033989,2236.067977,1781.159537
2000_1000__2500_0,2118.033989,2118.033989,2236.067977,1781.159537
2000_1000__2500_2000,2118.033989,2118.033989,2236.067977,1781.159537
500_500__500_1500,2288.245611,2144.122806,2288.245611,1781.512192
500_1500__500_500,2288.245611,2144.122806,2288.245611,1781.512192
2500_500__2500_1500,2288.245611,2144.122806,2288.245611,1781.512192
2500_1500__2500_500,2288.245611,2144.122806,2288.245611,1781.512192
0_1000__1500_500,1707.106781,2144.122806,2288.245611,1783.112224
0_1000__1500_1500,1707.106781,2144.122806,2288.245611,1783.112224
1500_500__3000_1000,1707.106781,2144.122806,2288.245611,1783.112224
1500_1500__3000_1000,1707.106781,2144.122806,2288.245611,1783.112224
500_0__2000_2000,2118.033989,2809.016994,3618.033989,1791.135907
500_2000__2000_0,2118.033989,2809.016994,3618.033989,1791.135907
1000_0__2500_2000,2118.033989,2809.016994,3618.033989,1791.135907
1000_2000__2500_0,2118.033989,2809.016994,3618.033989,1791.135907
2000_1000__0_0,3236.067977,3236.067977,4472.135955,1791.147533
2000_1000__0_2000,3236.067977,3236.067977,4472.135955,1791.147533
3000_0__1000_1000,3236.067977,3236.067977,4472.135955,1791.147533
3000_2000__1000_1000,3236.067977,3236.067977,4472.135955,1791.147533
2500_500__0_1500,3642.691643,3667.637023,5335.274046,1794.075968
2500_1500__0_500,3642.691643,3667.637023,5335.274046,1794.075968
3000_500__500_1500,3642.691643,3667.637023,5335.274046,1794.075968
3000_1500__500_500,3642.691643,3667.637023,5335.274046,1794.075968
0_500__1500_1500,1825.14077,2313.958204,2627.916408,1796.915053
0_1500__1500_500,1825.14077,2313.958204,2627.916408,1796.915053
1500_500__3000_1500,1825.14077,2313.958204,2627.916408,1796.915053
1500_1500__3000_500,1825.14077,2313.958204,2627.916408,1796.915053
2000_0__500_2000,3216.9892,3358.4946,4716.9892,1797.779343
2000_2000__500_0,3216.9892,3358.4946,4716.9892,1797.779343
2500_0__1000_2000,3216.9892,3358.4946,4716.9892,1797.779343
2500_2000__1000_0,3216.9892,3358.4946,4716.9892,1797.779343
1000_500__500_0,2302.775638,2004.941209,2009.882419,1798.573262
1000_1500__500_2000,2302.775638,2004.941209,2009.882419,1798.573262
2500_0__2000_500,2302.775638,2004.941209,2009.882419,1798.573262
2500_2000__2000_1500,2302.775638,2004.941209,2009.882419,1798.573262
500_0__1500_2000,2236.067977,2736.067977,3472.135955,1801.210076
500_2000__1500_0,2236.067977,2736.067977,3472.135955,1801.210076
1500_0__2500_2000,2236.067977,2736.067977,3472.135955,1801.210076
1500_2000__2500_0,2236.067977,2736.067977,3472.135955,1801.210076
1000_0__500_500,2581.13883,2144.122806,2288.245611,1820.239124
1000_2000__500_1500,2581.13883,2144.122806,2288.245611,1820.239124
2500_500__2000_0,2581.13883,2144.122806,2288.245611,1820.239124
2500_1500__2000_2000,2581.13883,2144.122806,2288.245611,1820.239124
2000_500__0_2000,3354.101966,3427.050983,4854.101966,1821.532854
2000_1500__0_0,3354.101966,3427.050983,4854.101966,1821.532854
3000_0__1000_1500,3354.101966,3427.050983,4854.101966,1821.532854
3000_2000__1000_500,3354.101966,3427.050983,4854.101966,1821.532854
0_1000__3000_1000,2000,3000,4000,1827.270508
0_1000__1000_1000,2000,2000,2000,1828.292847
2000_1000__3000_1000,2000,2000,2000,1828.292847
2000_0__1000_0,2828.427125,2414.213562,2828.427125,1828.426996
2000_2000__1000_2000,2828.427125,2414.213562,2828.427125,1828.426996
500_500__500_500,2288.245611,1644.122806,1288.245611,1832.521592
500_1500__500_1500,2288.245611,1644.122806,1288.245611,1832.521592
2500_500__2500_500,2288.245611,1644.122806,1288.245611,1832.521592
2500_1500__2500_1500,2288.245611,1644.122806,1288.245611,1832.521592
1000_1000__0_0,2236.067977,2325.14077,2650.28154,1834.808059
1000_1000__0_2000,2236.067977,2325.14077,2650.28154,1834.808059
3000_0__2000_1000,2236.067977,2325.14077,2650.28154,1834.808059
3000_2000__2000_1000,2236.067977,2325.14077,2650.28154,1834.808059
1500_0__1000_0,2532.247551,2016.123776,2032.247551,1841.427591
1500_2000__1000_2000,2532.247551,2016.123776,2032.247551,1841.427591
2000_0__1500_0,2532.247551,2016.123776,2032.247551,1841.427591
2000_2000__1500_2000,2532.247551,2016.123776,2032.247551,1841.427591
1500_0__1500_0,2236.067977,1618.033989,1236.067977,1845.645725
1500_2000__1500_2000,2236.067977,1618.033989,1236.067977,1845.645725
500_0__1500_500,1825.14077,1971.587379,1943.174759,1855.283025
500_2000__1500_1500,1825.14077,1971.587379,1943.174759,1855.283025
1500_500__2500_0,1825.14077,1971.587379,1943.174759,1855.283025
1500_1500__2500_2000,1825.14077,1971.587379,1943.174759,1855.283025
500_0__2000_500,1618.033989,2099.586409,2199.172819,1855.808286
500_2000__2000_1500,1618.033989,2099.586409,2199.172819,1855.808286
1000_500__2500_0,1618.033989,2099.586409,2199.172819,1855.808286
1000_1500__2500_2000,1618.033989,2099.586409,2199.172819,1855.808286
500_500__1500_0,1825.14077,1971.587379,1943.174759,1856.506909
500_1500__1500_2000,1825.14077,1971.587379,1943.174759,1856.506909
1500_0__2500_500,1825.14077,1971.587379,1943.174759,1856.506909
1500_2000__2500_1500,1825.14077,1971.587379,1943.174759,1856.506909
0_500__2000_500,1618.033989,2309.016994,2618.033989,1860.421959
0_1500__2000_1500,1618.033989,2309.016994,2618.033989,1860.421959
1000_500__3000_500,1618.033989,2309.016994,2618.033989,1860.421959
1000_1500__3000_1500,1618.033989,2309.016994,2618.033989,1860.421959
500_500__2000_0,1707.106781,2144.122806,2288.245611,1868.547226
500_1500__2000_2000,1707.106781,2144.122806,2288.245611,1868.547226
1000_0__2500_500,1707.106781,2144.122806,2288.245611,1868.547226
1000_2000__2500_1500,1707.106781,2144.122806,2288.245611,1868.547226
1000_0__500_2000,2802.775638,2932.164225,3864.328451,1872.015734
1000_2000__500_0,2802.775638,2932.164225,3864.328451,1872.015734
2500_0__2000_2000,2802.775638,2932.164225,3864.328451,1872.015734
2500_2000__2000_0,2802.775638,2932.164225,3864.328451,1872.015734
2500_500__0_500,3642.691643,3571.345821,5142.691643,1876.446812
2500_1500__0_1500,3642.691643,3571.345821,5142.691643,1876.446812
3000_500__500_500,3642.691643,3571.345821,5142.691643,1876.446812
3000_1500__500_1500,3642.691643,3571.345821,5142.691643,1876.446812
2500_0__500_500,3383.914468,3222.73364,4445.467281,1876.835212
2500_500__500_0,3383.914468,3222.73364,4445.467281,1876.835212
2500_1500__500_2000,3383.914468,3222.73364,4445.467281,1876.835212
2500_2000__500_1500,3383.914468,3222.73364,4445.467281,1876.835212
1500_0__0_1000,3118.033989,2960.404813,3920.809626,1877.378246
1500_2000__0_1000,3118.033989,2960.404813,3920.809626,1877.378246
3000_1000__1500_0,3118.033989,2960.404813,3920.809626,1877.378246
3000_1000__1500_2000,3118.033989,2960.404813,3920.809626,1877.378246
0_0__2000_1000,1414.213562,2325.14077,2650.28154,1880.917858
0_2000__2000_1000,1414.213562,2325.14077,2650.28154,1880.917858
1000_1000__3000_0,1414.213562,2325.14077,2650.28154,1880.917858
1000_1000__3000_2000,1414.213562,2325.14077,2650.28154,1880.917858
2000_0__0_1500,3475.766375,3487.883188,4975.766375,1881.625783
2000_2000__0_500,3475.766375,3487.883188,4975.766375,1881.625783
3000_500__1000_2000,3475.766375,3487.883188,4975.766375,1881.625783
3000_1500__1000_0,3475.766375,3487.883188,4975.766375,1881.625783
500_0__2500_2000,2236.067977,3032.247551,4064.495102,1885.425328
500_2000__2500_0,2236.067977,3032.247551,4064.495102,1885.425328
1500_0__0_1500,3179.586802,3150.453573,4300.907145,1885.709281
1500_2000__0_500,3179.586802,3150.453573,4300.907145,1885.709281
3000_500__1500_2000,3179.586802,3150.453573,4300.907145,1885.709281
3000_1500__1500_0,3179.586802,3150.453573,4300.907145,1885.709281
2000_0__0_1000,3414.213562,3325.14077,4650.28154,1886.155994
2000_2000__0_1000,3414.213562,3325.14077,4650.28154,1886.155994
3000_1000__1000_0,3414.213562,3325.14077,4650.28154,1886.155994
3000_1000__1000_2000,3414.213562,3325.14077,4650.28154,1886.155994
1500_500__0_0,2943.174759,2762.156794,3524.313589,1886.672513
1500_1500__0_2000,2943.174759,2762.156794,3524.313589,1886.672513
3000_0__1500_500,2943.174759,2762.156794,3524.313589,1886.672513
3000_2000__1500_1500,2943.174759,2762.156794,3524.313589,1886.672513
0_0__2000_1500,1914.213562,2707.106781,3414.213562,1888.02844
0_2000__2000_500,1914.213562,2707.106781,3414.213562,1888.02844
1000_500__3000_2000,1914.213562,2707.106781,3414.213562,1888.02844
1000_1500__3000_0,1914.213562,2707.106781,3414.213562,1888.02844
3000_1000__0_1000,4000,4000,6000,1893.798828
500_1000__0_1000,2500,2000,2000,1894.191742
3000_1000__2500_1000,2500,2000,2000,1894.191742
0_500__1000_1000,2118.033989,2118.033989,2236.067977,1906.488501
0_1500__1000_1000,2118.033989,2118.033989,2236.067977,1906.488501
2000_1000__3000_500,2118.033989,2118.033989,2236.067977,1906.488501
2000_1000__3000_1500,2118.033989,2118.033989,2236.067977,1906.488501
0_500__1500_500,1825.14077,2162.570385,2325.14077,1912.316513
0_1500__1500_1500,1825.14077,2162.570385,2325.14077,1912.316513
1500_500__3000_500,1825.14077,2162.570385,2325.14077,1912.316513
1500_1500__3000_1500,1825.14077,2162.570385,2325.14077,1912.316513
1000_500__0_2000,2736.067977,2769.421808,3538.843615,1913.119104
1000_1500__0_0,2736.067977,2769.421808,3538.843615,1913.119104
3000_0__2000_1500,2736.067977,2769.421808,3538.843615,1913.119104
3000_2000__2000_500,2736.067977,2769.421808,3538.843615,1913.119104
2500_0__500_2000,3605.551275,3716.9892,5433.9784,1921.901368
2500_2000__500_0,3605.551275,3716.9892,5433.9784,1921.901368
500_0__1000_2000,2532.247551,2796.900182,3593.800364,1922.770338
500_2000__1000_0,2532.247551,2796.900182,3593.800364,1922.770338
2000_0__2500_2000,2532.247551,2796.900182,3593.800364,1922.770338
2000_2000__2500_0,2532.247551,2796.900182,3593.800364,1922.770338
0_500__2500_500,1825.14077,2662.570385,3325.14077,1927.413891
0_1500__2500_1500,1825.14077,2662.570385,3325.14077,1927.413891
500_500__3000_500,1825.14077,2662.570385,3325.14077,1927.413891
500_1500__3000_1500,1825.14077,2662.570385,3325.14077,1927.413891
500_500__1000_0,2121.320344,1914.213562,1828.427125,1928.336732
500_1500__1000_2000,2121.320344,1914.213562,1828.427125,1928.336732
2000_0__2500_500,2121.320344,1914.213562,1828.427125,1928.336732
2000_2000__2500_1500,2121.320344,1914.213562,1828.427125,1928.336732
0_1000__1000_500,2118.033989,2118.033989,2236.067977,1928.68448
0_1000__1000_1500,2118.033989,2118.033989,2236.067977,1928.68448
2000_500__3000_1000,2118.033989,2118.033989,2236.067977,1928.68448
2000_1500__3000_1000,2118.033989,2118.033989,2236.067977,1928.68448
500_0__1000_500,2236.067977,1971.587379,1943.174759,1931.31994
500_2000__1000_1500,2236.067977,1971.587379,1943.174759,1931.31994
2000_500__2500_0,2236.067977,1971.587379,1943.174759,1931.31994
2000_1500__2500_2000,2236.067977,1971.587379,1943.174759,1931.31994
0_500__2000_2000,2118.033989,2809.016994,3618.033989,1934.184451
0_1500__2000_0,2118.033989,2809.016994,3618.033989,1934.184451
1000_0__3000_1500,2118.033989,2809.016994,3618.033989,1934.184451
1000_2000__3000_500,2118.033989,2809.016994,3618.033989,1934.184451
0_0__2500_1500,2121.320344,3018.398145,4036.796291,1934.643253
0_2000__2500_500,2121.320344,3018.398145,4036.796291,1934.643253
500_500__3000_2000,2121.320344,3018.398145,4036.796291,1934.643253
500_1500__3000_0,2121.320344,3018.398145,4036.796291,1934.643253
2000_500__0_0,3354.101966,3207.82739,4415.654779,1935.196949
2000_1500__0_2000,3354.101966,3207.82739,4415.654779,1935.196949
3000_0__1000_500,3354.101966,3207.82739,4415.654779,1935.196949
3000_2000__1000_1500,3354.101966,3207.82739,4415.654779,1935.196949
1500_0__500_0,2920.809626,2460.404813,2920.809626,1938.899005
1500_2000__500_2000,2920.809626,2460.404813,2920.809626,1938.899005
2500_0__1500_0,2920.809626,2460.404813,2920.809626,1938.899005
2500_2000__1500_2000,2920.809626,2460.404813,2920.809626,1938.899005
500_1000__500_0,2302.775638,2151.387819,2302.775638,1939.323401
500_1000__500_2000,2302.775638,2151.387819,2302.775638,1939.323401
2500_0__2500_1000,2302.775638,2151.387819,2302.775638,1939.323401
2500_2000__2500_1000,2302.775638,2151.387819,2302.775638,1939.323401
1000_0__1500_0,2118.033989,1809.016994,1618.033989,1939.904746
1000_2000__1500_2000,2118.033989,1809.016994,1618.033989,1939.904746
1500_0__2000_0,2118.033989,1809.016994,1618.033989,1939.904746
1500_2000__2000_2000,2118.033989,1809.016994,1618.033989,1939.904746
0_500__3000_1000,2118.033989,3079.707627,4159.415254,1945.37086
0_1000__3000_500,2118.033989,3079.707627,4159.415254,1945.37086
0_1000__3000_1500,2118.033989,3079.707627,4159.415254,1945.37086
0_1500__3000_1000,2118.033989,3079.707627,4159.415254,1945.37086
2500_1000__0_0,3736.067977,3714.325191,5428.650381,1950.923422
2500_1000__0_2000,3736.067977,3714.325191,5428.650381,1950.923422
3000_0__500_1000,3736.067977,3714.325191,5428.650381,1950.923422
3000_2000__500_1000,3736.067977,3714.325191,5428.650381,1950.923422
0_500__3000_1500,2236.067977,3199.172819,4398.345638,1954.221796
0_1500__3000_500,2236.067977,3199.172819,4398.345638,1954.221796
0_500__1000_1500,2236.067977,2325.14077,2650.28154,1957.733042
0_1500__1000_500,2236.067977,2325.14077,2650.28154,1957.733042
2000_500__3000_1500,2236.067977,2325.14077,2650.28154,1957.733042
2000_1500__3000_500,2236.067977,2325.14077,2650.28154,1957.733042
0_0__2500_1000,1914.213562,2803.397983,3606.795966,1957.848491
0_2000__2500_1000,1914.213562,2803.397983,3606.795966,1957.848491
500_1000__3000_0,1914.213562,2803.397983,3606.795966,1957.848491
500_1000__3000_2000,1914.213562,2803.397983,3606.795966,1957.848491
0_0__1500_1500,2121.320344,2621.320344,3242.640687,1959.586966
0_2000__1500_500,2121.320344,2621.320344,3242.640687,1959.586966
1500_500__3000_2000,2121.320344,2621.320344,3242.640687,1959.586966
1500_1500__3000_0,2121.320344,2621.320344,3242.640687,1959.586966
500_0__500_1000,2618.033989,2309.016994,2618.033989,1960.967305
500_2000__500_1000,2618.033989,2309.016994,2618.033989,1960.967305
2500_1000__2500_0,2618.033989,2309.016994,2618.033989,1960.967305
2500_1000__2500_2000,2618.033989,2309.016994,2618.033989,1960.967305
1000_0__1000_0,2414.213562,1707.106781,1414.213562,1963.300234
1000_2000__1000_2000,2414.213562,1707.106781,1414.213562,1963.300234
2000_0__2000_0,2414.213562,1707.106781,1414.213562,1963.300234
2000_2000__2000_2000,2414.213562,1707.106781,1414.213562,1963.300234
500_500__500_2000,2509.882419,2504.941209,3009.882419,1966.022189
500_1500__500_0,2509.882419,2504.941209,3009.882419,1966.022189
2500_0__2500_1500,2509.882419,2504.941209,3009.882419,1966.022189
2500_2000__2500_500,2509.882419,2504.941209,3009.882419,1966.022189
2500_500__0_2000,3817.206808,3866.341378,5732.682755,1966.765466
2500_1500__0_0,3817.206808,3866.341378,5732.682755,1966.765466
3000_0__500_1500,3817.206808,3866.341378,5732.682755,1966.765466
3000_2000__500_500,3817.206808,3866.341378,5732.682755,1966.765466
2000_0__500_0,3216.9892,2858.4946,3716.9892,1971.905596
2000_2000__500_2000,3216.9892,2858.4946,3716.9892,1971.905596
2500_0__1000_0,3216.9892,2858.4946,3716.9892,1971.905596
2500_2000__1000_2000,3216.9892,2858.4946,3716.9892,1971.905596
0_0__1500_1000,1914.213562,2358.4946,2716.9892,1972.613344
0_2000__1500_1000,1914.213562,2358.4946,2716.9892,1972.613344
1500_1000__3000_0,1914.213562,2358.4946,2716.9892,1972.613344
1500_1000__3000_2000,1914.213562,2358.4946,2716.9892,1972.613344
0_500__2500_2000,2236.067977,3075.771962,4151.543925,1974.187246
